Abuddin Nata,"Profesor Bidang Pengkajian Islam, Universitas Islam Negeri Syarif Hidayatullah Jakarta"
Azyumardi Azra,"Professor of history, UIN Jakarta"
Fauzan Fauzan,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Mohammad Nur Rianto Al Arif,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Abdul Mujib,"Professor of Islamic psychology, UIN Syarif Hidayatullah Jakarta"
Rulli Nasrullah,UIN Syarif Hidayatullah Jakarta
"Prof. Dr. Fathurrahman Djamil, MA",Universitas Islam Negeri Syarif Hidayatullah Jakarta
Yudhi Munadi,UIN Syarif Hidayatullah Jakarta
M. Arief Mufraini,State Islamic University (UIN) Syarif Hidayatullah Jakarta
Abdul Rahman Shaleh,"Doktor Psikologi, UIN Syarif Hidayatullah Jakarta"
Armai Arief,UIN Syarif Hidayatullah Jakarta
"Prof. Dr. Nasaruddin Umar, MA","Professor Bidang Ilmu Tafsir, UIN Syarif Hidayatullah Jakarta"
Iqbal Maulana hasan,Uin syarif hidayatullah jakarta
Dede Rosyada,State Islamic University (UIN) Syarif Hidayatullah Jakarta
Etikonomi,UIN Syarif Hidayatullah Jakarta
Rizqon Halal Syah Aji. ID-Scopus. 57215927590.(https://orcid.org/0000-0001-5230-8603),"Ekonomi Pembangunan, Fakultas Ekonomi dan Bisnis UIN Syarif Hidayatullah Jakarta"
Jejen Musfah,"Doktor Manajemen Pendidikan, Islamic State University"
"Nur Rohim Yunus (http://orcid.org/0000-0003-2782-1266, SCOPUS ID: 57216167775)",Universitas Islam Negeri (UIN) Syarif Hidayatullah Jakarta
Abdul Halim,Universitas Islam Negeri Syarif Hidayatullah Jakarta
EDUSAINS,Fakultas Ilmu Tarbiyah dan Keguruan-Universitas Islam Negeri Syarif Hidayatullah Jakarta
Prof. Dr. Ahmad Rodoni,Universitas Islam Negeri Syarif Hidayatullah Jakarta
"Dr. H. Jaenal Aripin, M.Ag., PIA",UIN Syarif Hidayatullah Jakarta
Arskal Salim,UIN Syarif Hidayatullah Jakarta
Dr.Diana Mutiah M.Si,UIN SYARIF HIDAYATULLAH JAKARTA
Jajat Burhanudin,Syarif Hidayatullah State Islamic University of Jakarta
Aang Subiyakto,"Associate Professor in Information Systems, UIN Syarif Hidayatullah Jakarta"
Arif Sumantri,UIN Syarif Hidayatullah Jakarta
Herni Ali Husin Thalib,UIN Syarif Hidayatullah Jakarta
Flori R. Sari,State Islamic University (UIN) Syarif Hidayatullah Jakarta
Maila DH Rahiem,UIN Syarif Hidayatullah Jakarta
M. Nurul Irfan,UIN Jakarta
Wahidin Saputra,UIN Syarif Hidayatullah Jakarta
Prof. Dr. Husni Rahim,UIN Syarif Hidayatullah Jakarta
"Prof. Didin Nuruddin Hidayat, MA TESOL, Ph.D",Universitas Islam Negeri (UIN) Syarif Hidayatullah Jakarta
Bahrul Hayat,Syarif Hidayatullah State Islamic University Jakarta
Amsal Bakhtiar,UIN Syarif Hidayatullah Jakarta
Amelia Fauzia,Syarif Hidayatullah State Islamic University Jakarta
Alek Alek,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Burhanuddin Yusuf,FEB UIN Syarif Hidayatullah Jakarta
"Ahmad Mukri Aji (http://orcid.org/0000-0002-9802-5630, Scopus ID: 57216168294)","Professor of Islamic Law (FIQH), Universitas Islam Negeri Syarif Hidayatullah Jakarta"
Achmad Ubaedillah,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Masykuri Abdillah,UIN Syarif Hidayatullah Jakarta
Suhendra_Febuinjkt,Universitas Islam Negeri Syarif Hidayatullah Jakarta
"Prof. Dr. M. Amin Nurdin, MA.",Syarif Hidayatullah State Islamic University of Jakarta
Hendro Prasetyo,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Khamami Zada (orcid.org/0000-0002-1799-9979),Dosen Fakultas Syariah dan Hukum UIN Jakarta
Yanti Herlanti,UIN Syarif Hidayatullah Jakarta
"Prof. Dr. Ade Sofyan Mulazid, S.Ag.,MH",Scopus ID 57200944760 Orcid ID 0000-0002-5254-5390 UIN Syarif Hidayatullah Jakarta …
Andi M. Faisal Bakti,"Faculty of Communication and Da'wa, Syarif Hidayatullah State Islamic University Jakarta"
Prof Sukron Kamil,UIN Syarif Hidayatullah Jakarta
Bambang Suryadi,"Lecturer of Faculty of Psychology, UIN Jakarta"
"Hasani Ahmad Said, Dr. S.Th.I., MA","Lektor Kepala, Fakultas Ushuluddin Prodi Ilmu al-Qur'an dan Tafsir UIN Syarif Hidayatullah …"
Gun Gun Heryanto,UIN Syarif Hidayatullah Jakarta
Roikhan Mochamad Aziz,"Doctor Islamic Economics, State Islamic University (UIN) Universitas Islam Negeri Syarif"
"Dr. Nurul Ichsan, MA",Fakultas Ekonomi dan Bisnis Universitas Islam Negeri Syarif Hidayatullah Jakarta
Nuruddin Muhammad Ali,UIN Syarif Hidayatullah Jakarta
Abd. Moqsith,UIN Syarif Hidayatullah Jakarta
